id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
5HHWykPjtlGoJpZpoy4zNH,Tiempo,57,172671,0,['Manuel Turizo'],['0tmwSHipWxN12fsoLcFU3B'],2021,0.787,0.648,4,-6.133,1,0.134,0.118,0.000967,0.0971,0.814,83.976,4,Reggaeton
54ZWl57vHZDBIj9nxrgpAu,Antes Que Te Vayas,53,165619,0,['Manuel Turizo'],['0tmwSHipWxN12fsoLcFU3B'],2021,0.767,0.704,6,-3.837,1,0.0895,0.0622,4.4e-06,0.116,0.409,99.968,4,Reggaeton
0wp2hXtcgdSWn1Dy0yg3cU,Una Respuesta,2,204200,0,"['Daddy Yankee', 'J Alvarez']","['4VMYDCV2IEDYJArk749S6m', '6XFITTl7cFTdopDY3lUdlY']",2021,0.757,0.84,10,-5.363,0,0.0651,0.334,0.0,0.224,0.824,91.976,4,Reggaeton
40aAZDYeo67LyjtEtCHqsr,Pasarela,2,193733,0,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],2021,0.839,0.907,9,-4.259,1,0.0453,0.101,0.0,0.332,0.737,121.048,4,Reggaeton
3DNnMuxzbPaCoiRjQyZXgJ,Shaky Shaky - Remix,0,234560,0,"['Daddy Yankee', 'Nicky Jam', 'Plan B', 'Rome & Urba']","['4VMYDCV2IEDYJArk749S6m', '1SupJlEpv7RS2tPNRaHViT', '2jSGzJw0ebJLu7OLVSOcBP', '5nCDKB2wHDtZozxPp3fcWh']",2021,0.813,0.786,6,-4.133,0,0.154,0.107,0.0,0.238,0.828,175.908,4,Reggaeton
4nluyir0jUAXJVWBzcrZDk,Hula Hoop,0,236493,0,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],2021,0.799,0.818,6,-4.628,1,0.0801,0.113,0.00315,0.0942,0.951,175.998,4,Reggaeton
3WnxH45yB9q4orHFRtq1p2,Por Amarte Así,65,158532,0,['CNCO'],['0eecdvMrqBftK0M1VKhaF4'],2021,0.693,0.83,11,-3.469,1,0.113,0.236,0.0,0.112,0.615,166.096,4,Rock
3TXwl1FmySz0YURQVrHY8Y,Están Pa´ Mí,3,234293,0,"['Jhay Cortez', 'J Balvin']","['0EFisYRi20PTADoJrifHrz', '1vyhD5VmyZ7KMfW5gqLgo5']",2021,0.791,0.879,1,-3.399,1,0.0457,0.0988,0.0,0.0994,0.632,140.007,4,Reggaeton
67einYP4mV6zNPBUdxqNYR,Breathe Me,0,274933,0,['Sia'],['5WUlDfRSoLAfcVSX1WnrxN'],2021,0.544,0.63,0,-7.523,1,0.0335,0.0341,0.579,0.0961,0.202,120.066,4,Pop
06s7e1IoRtd8mH3cW5ibHY,Birds,12,219435,0,"['Imagine Dragons', 'Elisa']","['53XhwfbYqKCa1cC15pYq2q', '2ARH58Hit3yC6ziGdhma23']",2021,0.627,0.527,1,-7.012,0,0.0294,0.0219,0.0,0.16,0.293,119.995,4,Rock
049UvxsXkzaqcUvqFrJh7i,Bleeding Out,0,223160,0,['Imagine Dragons'],['53XhwfbYqKCa1cC15pYq2q'],2021,0.226,0.759,5,-4.136,0,0.0907,0.0144,0.0,0.0986,0.332,169.444,4,Rock
7KcNngR1NaskvxAO5al8zD,Amsterdam,0,242213,0,['Imagine Dragons'],['53XhwfbYqKCa1cC15pYq2q'],2021,0.515,0.781,4,-4.936,1,0.0362,0.007,7.09e-06,0.129,0.213,115.0,4,Rock
7nS8u8pxZJdjgYNFOJZZpV,Tiptoe,2,194200,0,['Imagine Dragons'],['53XhwfbYqKCa1cC15pYq2q'],2021,0.527,0.82,6,-5.855,1,0.0325,0.00154,1.93e-05,0.076,0.251,120.041,4,Rock
1JibZVTGNSHPepSl57gO9t,Back To You - From 13 Reasons Why – Season 2 Soundtrack,1,207905,0,['Selena Gomez'],['0C8ZW7ezQVs4URX5aX7Kqx'],2021,0.6,0.725,6,-4.866,1,0.0487,0.0933,1.87e-06,0.12,0.506,102.056,4,Pop
4p61IulSAy1w2Q6qTJb22L,Come & Get It,0,231413,0,['Selena Gomez'],['0C8ZW7ezQVs4URX5aX7Kqx'],2021,0.552,0.783,7,-4.138,0,0.0504,0.00887,0.00026,0.0954,0.575,79.984,4,Pop
5k1r4DlO1KQ4mjhvSgW2ha,The Heart Wants What It Wants,0,227373,0,['Selena Gomez'],['0C8ZW7ezQVs4URX5aX7Kqx'],2021,0.617,0.792,7,-4.873,0,0.0379,0.0536,0.0,0.142,0.631,83.067,4,Pop
69ov5J21Pn6Um9SKCRAtxu,Rare,0,220590,0,['Selena Gomez'],['0C8ZW7ezQVs4URX5aX7Kqx'],2021,0.838,0.541,5,-6.746,1,0.0708,0.207,7.97e-05,0.103,0.637,114.996,4,Children’s Music
3lVN6SBsQxYwB5crcnfynK,Tequila,69,224554,1,"['Pipe Bueno', 'Maluma']","['4RXxwBtdt6k1YNyyAyiOng', '1r4hJ1h58CWwUQe3MxPuau']",2021,0.731,0.657,1,-5.196,1,0.179,0.142,0.0,0.248,0.718,169.96,3,Country
1oDEVieVwlD2Upoj734r4f,Payphone,27,232320,1,"['Maroon 5', 'Wiz Khalifa']","['04gDigrS5kc9YWfZHwBETP', '137W8MRPWKqSmrBGDBFSop']",2021,0.737,0.765,4,-4.871,1,0.0397,0.0149,0.0,0.358,0.507,110.013,4,Pop
0KvkSOtxwBx6TCgVOqYZEO,Makes Me Wonder,8,212227,1,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.799,0.856,7,-2.427,1,0.0352,0.00383,0.00062,0.0621,0.892,113.994,4,Pop
0OIdmLEUpEOHzkB0OQBnEt,Sad,3,194200,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.572,0.258,7,-9.213,1,0.0348,0.787,0.0,0.0973,0.324,111.91,4,Comedy
1AwbhoauDJMC1pjZx0Iq7o,Maps,4,190147,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.738,0.709,1,-5.564,0,0.0298,0.0196,0.0,0.061,0.885,120.018,4,Soul
1v9Ad6ENsX8jynw0S5HEdW,Love Somebody,9,229827,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.675,0.791,1,-6.295,1,0.0369,0.129,0.0,0.121,0.423,120.015,4,Soul
2p9DvbcZV4yPKm4dijsjCm,She Will Be Loved - Radio Mix,1,257827,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.699,0.71,0,-5.525,0,0.0295,0.0588,0.0,0.134,0.557,102.06,4,Pop
3JKZFlIqwaWMAMm3HRezZX,Girls Like You,10,215230,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.604,0.462,0,-7.053,1,0.0614,0.558,1.05e-06,0.131,0.378,60.26,4,Indie
